epoch,train_loss,val_loss,mIoU,mDice,pixel_acc,lr
1,2.4048571451587932,2.1134803099710435,0.34368102379802357,0.4706665980515797,0.6723492867946352,9.891830623632339e-05
2,1.9890677946690476,2.023711887865119,0.34090275273423964,0.46811359620778503,0.6630685124972113,9.572050015330874e-05
3,1.8912492725781642,1.9342101115346606,0.3468840665301487,0.48288648575437126,0.6014049126310355,9.05463412215599e-05
4,1.6738719638164992,1.8046525345473994,0.3846449006028397,0.5253965457096925,0.684236079165272,8.362196501476348e-05
5,1.5405354560221005,1.7303436277994042,0.41079480715235617,0.5583076213015825,0.7078650363834051,7.525e-05
6,1.4185074446986579,1.6209842702730106,0.45507568126812015,0.6001328365936731,0.7238589019111735,6.57963412215599e-05
7,1.3009795025102073,1.6782031111378488,0.44852983577815553,0.587951416205645,0.7177747443752084,5.567415893174885e-05
8,1.233181784121006,1.6883751590395235,0.4523190645092633,0.5914768564736358,0.7382900714076607,4.532584106825116e-05
9,1.1531379423624712,1.578551490450166,0.4974639737782873,0.6318511019738233,0.773392086086483,3.5203658778440106e-05
10,1.059640995169894,1.5858580427743048,0.49020161612694335,0.6234551679599843,0.7682265529162476,2.5750000000000013e-05
11,1.0430577693148981,1.5327283306851414,0.5058538617430568,0.6400393872941337,0.7774807540844199,1.7378034985236535e-05
12,0.991864683020488,1.547119152350504,0.505657905540501,0.6395456984334953,0.7772426849838288,1.0453658778440107e-05
13,0.9593990403387124,1.5190786142818262,0.5087946160074284,0.6429030535802625,0.7747007037958619,5.279499846691251e-06
14,0.9459317111578144,1.5375888334597394,0.5119134482567608,0.6447918285700447,0.7856144186670562,2.0816937636766186e-06
15,0.94507790322453,1.5299663335247768,0.5100970098840008,0.6433585211996746,0.779721173817887,1e-06
